Scenario,Generation_Type,Quantity,Model_Used,Input_Tokens,Output_Tokens,Input_Cost_Per_1M,Output_Cost_Per_1M,Cost_Per_Generation,Total_Cost
Extreme_User_Monthly,Story_Generation,5,GPT-4o,2000,8000,5.00,15.00,0.13,0.65
Extreme_User_Monthly,Character_Extraction,30,GPT-4o,1000,3000,5.00,15.00,0.05,1.50
Extreme_User_Monthly,Gen4_Image_Generation,180,Replicate_Gen4,0,0,0.00,0.00,0.25,45.00
Extreme_User_Monthly,Video_Generation,720,RunwayML_Gen4,0,0,0.00,0.00,0.60,432.00
Extreme_User_Monthly,Post_Processing,50,GPT-4o_Mini,500,2000,0.15,0.60,0.0015,0.075
Total_Extreme_Monthly,All_Combined,985,Mixed_Models,,,,,479.225

Typical_User_Monthly,Story_Generation,10,KIMI_Free,2000,8000,0.00,0.00,0.00,0.00
Typical_User_Monthly,Character_Extraction,30,KIMI_Free,1000,3000,0.00,0.00,0.00,0.00
Typical_User_Monthly,Gen4_Image_Generation,20,Replicate_Gen4,0,0,0.00,0.00,0.25,5.00
Typical_User_Monthly,Video_Generation,10,RunwayML_Gen4,0,0,0.00,0.00,0.60,6.00
Typical_User_Monthly,Post_Processing,10,KIMI_Free,500,2000,0.00,0.00,0.00,0.00
Total_Typical_Monthly,All_Combined,80,Mixed_Models,,,,,11.00

Budget_User_Monthly,Story_Generation,20,KIMI_Free,2000,8000,0.00,0.00,0.00,0.00
Budget_User_Monthly,Character_Extraction,60,KIMI_Free,1000,3000,0.00,0.00,0.00,0.00
Budget_User_Monthly,Gen4_Image_Generation,5,Replicate_Gen4,0,0,0.00,0.00,0.25,1.25
Budget_User_Monthly,Video_Generation,2,RunwayML_Gen4,0,0,0.00,0.00,0.60,1.20
Budget_User_Monthly,Post_Processing,20,KIMI_Free,500,2000,0.00,0.00,0.00,0.00
Total_Budget_Monthly,All_Combined,107,Mixed_Models,,,,,2.45

Model_Cost_Comparison,Text_Generation,1,KIMI_K2_Free,1000,1000,0.00,0.00,0.00,0.00
Model_Cost_Comparison,Text_Generation,1,KIMI_VL_A3B,1000,1000,0.025,0.10,0.000125,0.000125
Model_Cost_Comparison,Text_Generation,1,Qwen_Turbo,1000,1000,0.05,0.20,0.00025,0.00025
Model_Cost_Comparison,Text_Generation,1,DeepSeek_V3.1,1000,1000,0.20,0.80,0.001,0.001
Model_Cost_Comparison,Text_Generation,1,GPT-4o_Mini,1000,1000,0.15,0.60,0.00075,0.00075
Model_Cost_Comparison,Text_Generation,1,GPT-4o,1000,1000,5.00,15.00,0.02,0.02
Model_Cost_Comparison,Text_Generation,1,Claude_3.5_Sonnet,1000,1000,3.00,15.00,0.018,0.018

Video_Generation_Breakdown,RunwayML_Gen4_5sec,1,RunwayML_API,0,0,0.00,0.00,0.25,0.25
Video_Generation_Breakdown,RunwayML_Gen4_10sec,1,RunwayML_API,0,0,0.00,0.00,0.50,0.50
Video_Generation_Breakdown,RunwayML_Gen3_5sec,1,RunwayML_API,0,0,0.00,0.00,0.50,0.50
Video_Generation_Breakdown,Stable_Video_4sec,1,Replicate,0,0,0.00,0.00,0.20,0.20
Video_Generation_Breakdown,Google_Veo2_1sec,1,Google_API,0,0,0.00,0.00,0.50,0.50

Pricing_Tier_Analysis,Free_Tier_Monthly,25,Free_Models_Only,1000,3000,0.00,0.00,0.00,0.00
Pricing_Tier_Analysis,Pro_Tier_Monthly,200,Mixed_80_Free_20_Premium,1500,5000,1.00,3.00,0.035,7.00
Pricing_Tier_Analysis,Studio_Tier_Monthly,1000,Mixed_50_Free_50_Premium,1500,5000,2.50,7.50,0.075,75.00
Pricing_Tier_Analysis,Enterprise_Monthly,5000,Mixed_20_Free_80_Premium,1500,5000,4.00,12.00,0.12,600.00

Revenue_Projections,Free_Tier_User,0,No_Revenue,0,0,0.00,0.00,0.00,0.00
Revenue_Projections,Pro_Tier_User,20,Monthly_Revenue,0,0,0.00,0.00,7.00,13.00
Revenue_Projections,Studio_Tier_User,50,Monthly_Revenue,0,0,0.00,0.00,75.00,-25.00
Revenue_Projections,Enterprise_User,200,Monthly_Revenue,0,0,0.00,0.00,600.00,-400.00

Breaking_Point_Analysis,Light_Usage,50,Mostly_Free,1000,3000,0.10,0.30,0.004,0.20
Breaking_Point_Analysis,Medium_Usage,150,Balanced,1000,3000,1.50,4.50,0.045,6.75
Breaking_Point_Analysis,Heavy_Usage,500,Premium_Heavy,1000,3000,3.50,10.50,0.105,52.50
Breaking_Point_Analysis,Extreme_Usage,1000,Premium_Only,1000,3000,5.00,15.00,0.15,150.00
